GEOID,NAME,KWH_TOT_SQ,THRMS_TOT_,TOT_POP,AVGBLDGAGE
170310628003014,Block 3014,1574.0,11342.0,44.0,63.0
170312206024018,Block 4018,0.0,0.0,0.0,0.0
170310804003007,Block 3007,69902.0,71726.0,137.0,34.3300018
170312306005007,Block 5007,40194.0,42570.0,167.0,94.6900024
170312422001000,Block 1000,3000.0,19275.0,2.0,61.5999985
170312306001000,Block 1000,0.0,0.0,0.0,0.0
170312107003002,Block 3002,13266.0,13266.0,113.0,101.7099991
170318367001001,Block 1001,10443.0,10443.0,14.0,0.0
170318371002015,Block 2015,0.0,0.0,0.0,0.0
170312108001022,Block 1022,3707.0,2458.0,63.0,111.0
170310502002037,Block 2037,10749.0,8149.0,39.0,103.25
170312207024004,Block 4004,1988.0,1988.0,95.0,112.0
170312433002005,Block 2005,5270.0,2833.0,91.0,0.0
170312408002007,Block 2007,3659.0,3659.0,120.0,14.0
170311908003012,Block 3012,12203.0,12203.0,101.0,91.1999969
170311510022009,Block 2009,1452.0,1452.0,45.0,105.0
170312309001008,Block 1008,42719.0,45211.0,100.0,111.0800018
170310502003003,Block 3003,21386.0,20241.0,53.0,75.1299973
170312415001004,Block 1004,6152.0,0.0,83.0,0.0
170318423001021,Block 1021,0.0,0.0,0.0,0.0
170312002004010,Block 4010,4564.0,4636.0,119.0,85.75
170310602001009,Block 1009,0.0,16515.0,22.0,80.0
170311508004006,Block 4006,11799.0,11799.0,91.0,72.8000031
170312519002013,Block 2013,7712.0,7712.0,124.0,0.0
170318437002003,Block 2003,4301.0,6162.0,22.0,51.5
170312205003011,Block 3011,22693.0,22693.0,94.0,101.0
170318423001020,Block 1020,0.0,0.0,0.0,0.0
170311909001006,Block 1006,15294.0,16422.0,71.0,89.0
170312307003012,Block 3012,5471.0,7875.0,23.0,0.0
170310705001005,Block 1005,18987.0,18987.0,64.0,70.5999985
170318391001006,Block 1006,0.0,0.0,0.0,0.0
170318312002019,Block 2019,19882.0,19882.0,106.0,107.1299973
170310512002002,Block 2002,19392.0,19392.0,69.0,100.7099991
170310603002004,Block 2004,1764.0,1764.0,95.0,114.0
170312315004009,Block 4009,14691.0,14691.0,53.0,103.3300018
170310633011001,Block 1001,0.0,0.0,0.0,0.0
170318331002001,Block 2001,0.0,0.0,0.0,0.0
170312312002009,Block 2009,12405.0,10457.0,91.0,99.1699982
170310632002000,Block 2000,283977.0,283977.0,540.0,21.5
170312517001014,Block 1014,0.0,0.0,0.0,0.0
170312804001018,Block 1018,0.0,0.0,0.0,0.0
170312415001003,Block 1003,3465.0,3465.0,32.0,121.0
170312432002012,Block 2012,2400.0,2400.0,51.0,121.0
170310624001007,Block 1007,3566.0,3566.0,83.0,110.0
170318423001017,Block 1017,0.0,0.0,0.0,0.0
170311908003013,Block 3013,25851.0,28025.0,170.0,82.3300018
170310701013011,Block 3011,173737.0,173737.0,365.0,69.0
170310818001003,Block 1003,402942.0,0.0,287.0,5.0
170312213003008,Block 3008,9948.0,9948.0,20.0,29.6700001
170318322003011,Block 3011,4542.0,4542.0,33.0,119.0
170312712001012,Block 1012,0.0,0.0,0.0,0.0
170312510001025,Block 1025,17636.0,15464.0,80.0,84.3799973
170312606001007,Block 1007,2872.0,2872.0,106.0,106.0
170310314004002,Block 4002,0.0,0.0,0.0,0.0
170312517001025,Block 1025,1932.0,3692.0,39.0,119.0
170318378001037,Block 1037,14436.0,14436.0,60.0,63.0
170310804003002,Block 3002,22626.0,22626.0,109.0,7.0
170312428001042,Block 1042,78761.0,0.0,0.0,51.0
170310507001002,Block 1002,11818.0,11818.0,105.0,45.5
170318325002038,Block 2038,40464.0,32493.0,53.0,71.5
170310706001005,Block 1005,54634.0,51506.0,139.0,81.7099991
170312209013001,Block 3001,52195.0,52195.0,163.0,91.0500031
170311510022010,Block 2010,4200.0,4200.0,52.0,90.75
170312423002017,Block 2017,7153.0,7153.0,65.0,85.0
170318421003005,Block 3005,27213.0,25281.0,94.0,83.3300018
170312414004008,Block 4008,2596.0,2596.0,47.0,114.0
170312415002008,Block 2008,18333.0,19845.0,50.0,97.1399994
170312307003021,Block 3021,12984.0,12984.0,106.0,72.25
170318330001024,Block 1024,0.0,0.0,0.0,0.0
170310632005003,Block 5003,0.0,14691.0,199.0,0.0
170318330001067,Block 1067,16267.0,16267.0,0.0,94.0
170310629003014,Block 3014,10525.0,10525.0,64.0,110.0
170318391001095,Block 1095,1029351.0,1141635.0,4.0,52.3300018
170318326003001,Block 3001,10178.0,10178.0,124.0,62.0
170310710002004,Block 2004,8286.0,10176.0,48.0,38.6699982
170318423001073,Block 1073,0.0,3917.0,35.0,0.0
170318423001091,Block 1091,0.0,0.0,0.0,0.0
170311613004024,Block 4024,13060.0,13060.0,53.0,87.5
170318367002004,Block 2004,0.0,0.0,0.0,0.0
170312405001018,Block 1018,6744.0,6744.0,43.0,54.6699982
170312405001010,Block 1010,28191.0,26325.0,60.0,113.8000031
170318311001002,Block 1002,91620.0,91620.0,0.0,16.0
170310629002011,Block 2011,1439.0,1439.0,77.0,0.0
170312312003005,Block 3005,21064.0,23332.0,90.0,90.9000015
170312423001014,Block 1014,15350.0,15350.0,32.0,102.8000031
170311507001004,Block 1004,21600.0,21600.0,67.0,94.5
170318323001028,Block 1028,10100.0,0.0,0.0,38.0
170312420002005,Block 2005,5076.0,5076.0,98.0,0.0
170312304001001,Block 1001,5753.0,5753.0,114.0,114.0
170311907022004,Block 2004,4800.0,4800.0,62.0,80.0
170310701022004,Block 2004,38812.0,38812.0,151.0,104.0
170318310002028,Block 2028,0.0,0.0,0.0,0.0
170311602003003,Block 3003,8258.0,8258.0,42.0,98.75
170312211001017,Block 1017,21384.0,21384.0,55.0,95.0
170312206011009,Block 1009,2822.0,2822.0,34.0,0.0
170312214001010,Block 1010,27165.0,27165.0,96.0,57.5
170311903001012,Block 1012,16741.0,11941.0,80.0,49.2000008
170312435001002,Block 1002,0.0,0.0,0.0,0.0
170310501002006,Block 2006,7057.0,7057.0,64.0,101.0
170311604002014,Block 2014,0.0,0.0,0.0,0.0
170312508002005,Block 2005,7734.0,0.0,68.0,86.0
170310513001021,Block 1021,3736.0,5760.0,56.0,104.0
170312425002015,Block 2015,16928.0,16928.0,56.0,0.0
170311606022002,Block 2002,12774.0,12774.0,182.0,88.0
170312416002009,Block 2009,1317.0,1317.0,201.0,0.0
170311502001015,Block 1015,8938.0,8938.0,32.0,85.0
170312434001001,Block 1001,0.0,0.0,0.0,0.0
170312212002013,Block 2013,0.0,0.0,0.0,0.0
170310714001001,Block 1001,1431.0,1431.0,197.0,0.0
170310608003001,Block 3001,64439.0,64439.0,1316.0,84.5
170318326002008,Block 2008,19891.0,19891.0,38.0,117.3300018
170312413001007,Block 1007,40987.0,39287.0,245.0,96.7300034
170310321002004,Block 2004,11426.0,11426.0,409.0,0.0
170312409001029,Block 1029,4008.0,4008.0,0.0,116.0
170310718001003,Block 1003,15115.0,15115.0,24.0,123.5999985
170310628001013,Block 1013,5860.0,5860.0,85.0,59.5
170318311004004,Block 4004,2832.0,2832.0,162.0,81.0
170312416001013,Block 1013,1100.0,1100.0,28.0,121.0
170312226001016,Block 1016,8686.0,8686.0,48.0,102.0
170310513001007,Block 1007,12193.0,12193.0,63.0,73.25
170312426004012,Block 4012,8038.0,7517.0,58.0,24.3999996
170318437002004,Block 2004,0.0,0.0,0.0,0.0
170311606012006,Block 2006,5889.0,5889.0,94.0,0.0
170312705001019,Block 1019,0.0,0.0,0.0,0.0
170318423001098,Block 1098,0.0,0.0,0.0,0.0
170312215002026,Block 2026,10996.0,10996.0,58.0,118.6699982
170310703002003,Block 2003,31015.0,31015.0,78.0,0.0
170310603001025,Block 1025,3600.0,3600.0,116.0,84.0
170310629001005,Block 1005,33200.0,6300.0,88.0,49.5
170312408001000,Block 1000,25636.0,25636.0,79.0,120.0
170312604001014,Block 1014,2372.0,2372.0,118.0,98.0
170312801002009,Block 2009,0.0,0.0,0.0,0.0
170312109002010,Block 2010,0.0,0.0,0.0,0.0
170311602004000,Block 4000,30140.0,30140.0,94.0,101.0
170310704001007,Block 1007,3720.0,1720.0,104.0,0.0
170310601003001,Block 3001,32060.0,32060.0,173.0,95.0
170310511001022,Block 1022,15498.0,13607.0,62.0,111.1399994
170310513002012,Block 2012,12382.0,17398.0,70.0,114.1399994
170318366001031,Block 1031,0.0,3720.0,19.0,113.5
170311610002015,Block 2015,12671.0,12671.0,31.0,88.25
170311612002007,Block 2007,1754.0,1754.0,48.0,96.0
170311911005001,Block 5001,2100.0,22752.0,17.0,37.5
170312108001005,Block 1005,15300.0,15300.0,89.0,88.0
170311908002012,Block 2012,16635.0,18003.0,60.0,86.0599976
170318325001017,Block 1017,27443.0,27443.0,92.0,22.0
170312210001010,Block 1010,0.0,9372.0,125.0,85.0
170311902002004,Block 2004,14601.0,12408.0,139.0,83.2900009
170312109001029,Block 1029,2216.0,2216.0,97.0,0.0
170312516003002,Block 3002,12293.0,17516.0,40.0,40.25
170310627001000,Block 1000,11832.0,11832.0,90.0,0.0
170310628002010,Block 2010,5550.0,5550.0,74.0,104.0
170312002004005,Block 4005,0.0,0.0,0.0,0.0
170312205002004,Block 2004,0.0,0.0,0.0,0.0
170312205001019,Block 1019,12985.0,12985.0,62.0,94.0
170312421003021,Block 3021,8504.0,8504.0,61.0,0.0
170312213003001,Block 3001,0.0,0.0,0.0,0.0
170312211003009,Block 3009,14864.0,14864.0,55.0,96.5
170311605023010,Block 3010,4300.0,4300.0,45.0,82.0
170312210001004,Block 1004,9261.0,9261.0,83.0,86.0
170312413001015,Block 1015,6125.0,6125.0,61.0,59.5
170311508003005,Block 3005,9132.0,9132.0,52.0,77.7099991
170312004021012,Block 1012,7234.0,7234.0,132.0,80.0
170312424001016,Block 1016,4416.0,4416.0,61.0,114.0
170310701021001,Block 1001,48093.0,3493.0,497.0,85.0
170310706001007,Block 1007,70929.0,90037.0,731.0,0.0
170310803004003,Block 4003,0.0,0.0,0.0,0.0
170318383002007,Block 2007,4600.0,4600.0,0.0,85.0
170311606022010,Block 2010,23483.0,23483.0,11.0,81.0
170318311001026,Block 1026,0.0,83411.0,0.0,0.0
170312428001043,Block 1043,0.0,0.0,0.0,0.0
170312405001017,Block 1017,3102.0,3102.0,60.0,59.5
170310502002011,Block 2011,1900.0,10800.0,28.0,49.5
170312516003013,Block 3013,9088.0,9088.0,43.0,49.5
170312435001006,Block 1006,8282.0,8282.0,3.0,59.5
170311911001011,Block 1011,21562.0,21562.0,93.0,88.2399979
170318422001078,Block 1078,0.0,0.0,0.0,0.0
170310509001000,Block 1000,3342.0,3342.0,71.0,91.0
170312303001008,Block 1008,2202.0,2202.0,120.0,110.0
170312222002010,Block 2010,12110.0,12110.0,72.0,3.3299999
170311502003014,Block 3014,1400.0,1400.0,16.0,95.0
170311911004008,Block 4008,20293.0,20293.0,154.0,79.2200012
170312206025006,Block 5006,11631.0,11631.0,52.0,105.5
170310711001008,Block 1008,4101.0,4101.0,39.0,0.0
170310609004005,Block 4005,9735.0,9735.0,654.0,0.0
170318423001104,Block 1104,0.0,0.0,0.0,0.0
170312403001035,Block 1035,0.0,0.0,0.0,0.0
170312207013015,Block 3015,0.0,0.0,0.0,0.0
170310627003003,Block 3003,0.0,0.0,0.0,0.0
170312212001005,Block 1005,0.0,0.0,0.0,0.0
170312101003006,Block 3006,13741.0,13741.0,0.0,82.0
170318312002026,Block 2026,4386.0,4386.0,62.0,110.0
170311903003016,Block 3016,5028.0,5028.0,83.0,0.0
170318326002013,Block 2013,0.0,0.0,0.0,0.0
170312206021001,Block 1001,0.0,14300.0,66.0,30.0
170318370002009,Block 2009,3500.0,3500.0,0.0,100.0
170312507002014,Block 2014,5777.0,5777.0,55.0,84.0
170312503002017,Block 2017,13459.0,13459.0,32.0,0.0
170311606023010,Block 3010,15744.0,15744.0,138.0,81.5
170312801001011,Block 1011,0.0,0.0,0.0,0.0
170311502001000,Block 1000,0.0,0.0,0.0,0.0
170311502002026,Block 2026,21848.0,21848.0,65.0,0.0
170311901001015,Block 1015,38355.0,41177.0,205.0,77.4700012
170310601001008,Block 1008,10915.0,10915.0,84.0,38.0
170312421003006,Block 3006,1290.0,1290.0,50.0,4.0
170312229001001,Block 1001,0.0,0.0,0.0,0.0
170312215002008,Block 2008,2013.0,2013.0,28.0,0.0
170312306004007,Block 4007,10669.0,10669.0,93.0,98.3300018
170318311004002,Block 4002,31065.0,28305.0,63.0,79.5
170312002003006,Block 3006,7300.0,5788.0,108.0,76.6699982
170310510001010,Block 1010,1400.0,2200.0,90.0,78.0
170310717001000,Block 1000,5268.0,6768.0,116.0,82.5
170310706002017,Block 2017,0.0,0.0,0.0,0.0
170312001002011,Block 2011,6525.0,6525.0,90.0,40.5
170318313001004,Block 1004,0.0,0.0,0.0,0.0
170310602001002,Block 1002,6418.0,6418.0,0.0,111.0
170318331001014,Block 1014,195550.0,195550.0,139.0,13.3999996
170312503002001,Block 2001,4416.0,4416.0,61.0,85.0
170312430002018,Block 2018,39998.0,12600.0,0.0,44.25
