OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21273,14000US17031140701,1539,641,59,213,,,,17031140701,1407.01,14000US17031140701
21274,14000US17031140702,2989,1535,125,731,,,,17031140702,1407.02,14000US17031140702
21275,14000US17031140800,4064,1388,227,764,,,,17031140800,1408,14000US17031140800
21276,14000US17031150200,3887,877,273,663,,,,17031150200,1502,14000US17031150200
21277,14000US17031150300,3350,884,147,529,,,,17031150300,1503,14000US17031150300
21278,14000US17031150401,2241,296,49,461,,,,17031150401,1504.01,14000US17031150401
21279,14000US17031150402,1814,688,28,375,,,,17031150402,1504.02,14000US17031150402
21280,14000US17031150501,1919,296,26,358,,,,17031150501,1505.01,14000US17031150501
21281,14000US17031150502,2273,832,54,468,,,,17031150502,1505.02,14000US17031150502
21282,14000US17031150600,1824,696,35,249,,,,17031150600,1506,14000US17031150600
21283,14000US17031150700,2003,688,58,495,,,,17031150700,1507,14000US17031150700
21284,14000US17031150800,2504,1053,52,585,,,,17031150800,1508,14000US17031150800
21285,14000US17031151001,1246,752,45,262,,,,17031151001,1510.01,14000US17031151001
21286,14000US17031151002,2610,1568,43,495,,,,17031151002,1510.02,14000US17031151002
21287,14000US17031151100,2294,816,56,546,,,,17031151100,1511,14000US17031151100
21288,14000US17031151200,1824,689,38,358,,,,17031151200,1512,14000US17031151200
21289,14000US17031160100,1168,203,14,262,,,,17031160100,1601,14000US17031160100
21290,14000US17031160200,1848,471,109,322,,,,17031160200,1602,14000US17031160200
21291,14000US17031160300,1982,336,120,216,,,,17031160300,1603,14000US17031160300
21292,14000US17031160400,2710,1120,106,515,,,,17031160400,1604,14000US17031160400
21293,14000US17031160501,2043,1243,96,497,,,,17031160501,1605.01,14000US17031160501
21294,14000US17031160502,2371,1414,94,492,,,,17031160502,1605.02,14000US17031160502
21295,14000US17031160601,1881,657,57,443,,,,17031160601,1606.01,14000US17031160601
21296,14000US17031160602,2278,784,69,285,,,,17031160602,1606.02,14000US17031160602
21297,14000US17031160700,3039,855,271,365,,,,17031160700,1607,14000US17031160700
21298,14000US17031160800,2917,1554,146,514,,,,17031160800,1608,14000US17031160800
21299,14000US17031160900,1340,245,48,228,,,,17031160900,1609,14000US17031160900
21300,14000US17031161000,957,199,45,158,,,,17031161000,1610,14000US17031161000
21301,14000US17031161100,1125,110,126,253,,,,17031161100,1611,14000US17031161100
21302,14000US17031161200,1242,665,87,278,,,,17031161200,1612,14000US17031161200
21303,14000US17031161300,1792,910,47,269,,,,17031161300,1613,14000US17031161300
21304,14000US17031170100,809,97,0,114,,,,17031170100,1701,14000US17031170100
21305,14000US17031170200,1999,473,0,448,,,,17031170200,1702,14000US17031170200
21306,14000US17031170300,2626,489,30,439,,,,17031170300,1703,14000US17031170300
21307,14000US17031170400,1702,304,12,286,,,,17031170400,1704,14000US17031170400
21308,14000US17031170500,2754,462,37,386,,,,17031170500,1705,14000US17031170500
21309,14000US17031170600,1223,127,8,262,,,,17031170600,1706,14000US17031170600
21310,14000US17031170700,1481,308,18,337,,,,17031170700,1707,14000US17031170700
21311,14000US17031170800,1793,273,16,327,,,,17031170800,1708,14000US17031170800
21312,14000US17031170900,833,139,3,198,,,,17031170900,1709,14000US17031170900
21313,14000US17031171000,3736,639,16,584,,,,17031171000,1710,14000US17031171000
21314,14000US17031171100,2301,743,58,426,,,,17031171100,1711,14000US17031171100
21315,14000US17031180100,2390,836,11,556,,,,17031180100,1801,14000US17031180100
21316,14000US17031190100,1283,1022,32,309,,,,17031190100,1901,14000US17031190100
21317,14000US17031190200,2423,1659,19,740,,,,17031190200,1902,14000US17031190200
21318,14000US17031190300,2500,1346,45,586,,,,17031190300,1903,14000US17031190300
21319,14000US17031190401,1710,826,22,567,,,,17031190401,1904.01,14000US17031190401
21320,14000US17031190402,1966,1195,19,590,,,,17031190402,1904.02,14000US17031190402
21321,14000US17031190601,1886,1463,0,659,,,,17031190601,1906.01,14000US17031190601
21322,14000US17031190602,1863,1536,26,559,,,,17031190602,1906.02,14000US17031190602
21323,14000US17031190701,1167,798,59,383,,,,17031190701,1907.01,14000US17031190701
21324,14000US17031190702,2003,1557,0,564,,,,17031190702,1907.02,14000US17031190702
21325,14000US17031190800,2775,2166,17,865,,,,17031190800,1908,14000US17031190800
21326,14000US17031190900,1031,657,102,247,,,,17031190900,1909,14000US17031190900
21327,14000US17031191000,1015,924,48,368,,,,17031191000,1910,14000US17031191000
21328,14000US17031191100,2944,2379,82,946,,,,17031191100,1911,14000US17031191100
21329,14000US17031191200,1465,1285,7,538,,,,17031191200,1912,14000US17031191200
21330,14000US17031191301,2464,2167,2,723,,,,17031191301,1913.01,14000US17031191301
