OBJECTID,GEOID,PopHispanicLatino,FID_,GEOID,NAME,GEOID_Data
21408,14000US17031243400,1202,,17031243400,2434,14000US17031243400
21409,14000US17031243500,271,,17031243500,2435,14000US17031243500
21410,14000US17031250200,1001,,17031250200,2502,14000US17031250200
21411,14000US17031250300,1156,,17031250300,2503,14000US17031250300
21412,14000US17031250400,933,,17031250400,2504,14000US17031250400
21413,14000US17031250500,2032,,17031250500,2505,14000US17031250500
21414,14000US17031250600,264,,17031250600,2506,14000US17031250600
21415,14000US17031250700,222,,17031250700,2507,14000US17031250700
21416,14000US17031250800,233,,17031250800,2508,14000US17031250800
21417,14000US17031251000,163,,17031251000,2510,14000US17031251000
21418,14000US17031251100,317,,17031251100,2511,14000US17031251100
21419,14000US17031251200,204,,17031251200,2512,14000US17031251200
21420,14000US17031251300,187,,17031251300,2513,14000US17031251300
21421,14000US17031251400,336,,17031251400,2514,14000US17031251400
21422,14000US17031251500,110,,17031251500,2515,14000US17031251500
21423,14000US17031251600,194,,17031251600,2516,14000US17031251600
21424,14000US17031251700,102,,17031251700,2517,14000US17031251700
21425,14000US17031251800,0,,17031251800,2518,14000US17031251800
21426,14000US17031251900,133,,17031251900,2519,14000US17031251900
21427,14000US17031252000,158,,17031252000,2520,14000US17031252000
21428,14000US17031252101,76,,17031252101,2521.01,14000US17031252101
21429,14000US17031252102,0,,17031252102,2521.02,14000US17031252102
21430,14000US17031252201,19,,17031252201,2522.01,14000US17031252201
21431,14000US17031252202,26,,17031252202,2522.02,14000US17031252202
21432,14000US17031260100,0,,17031260100,2601,14000US17031260100
21433,14000US17031260200,15,,17031260200,2602,14000US17031260200
21434,14000US17031260300,67,,17031260300,2603,14000US17031260300
21435,14000US17031260400,1,,17031260400,2604,14000US17031260400
21436,14000US17031260500,0,,17031260500,2605,14000US17031260500
21437,14000US17031260600,7,,17031260600,2606,14000US17031260600
21438,14000US17031260700,15,,17031260700,2607,14000US17031260700
21439,14000US17031260800,92,,17031260800,2608,14000US17031260800
21440,14000US17031260900,30,,17031260900,2609,14000US17031260900
21441,14000US17031261000,13,,17031261000,2610,14000US17031261000
21442,14000US17031270500,53,,17031270500,2705,14000US17031270500
21443,14000US17031271200,0,,17031271200,2712,14000US17031271200
21444,14000US17031271300,12,,17031271300,2713,14000US17031271300
21445,14000US17031271400,23,,17031271400,2714,14000US17031271400
21446,14000US17031271500,0,,17031271500,2715,14000US17031271500
21447,14000US17031271800,0,,17031271800,2718,14000US17031271800
21448,14000US17031280100,390,,17031280100,2801,14000US17031280100
21449,14000US17031280400,19,,17031280400,2804,14000US17031280400
21450,14000US17031280800,10,,17031280800,2808,14000US17031280800
21451,14000US17031280900,47,,17031280900,2809,14000US17031280900
21452,14000US17031281900,108,,17031281900,2819,14000US17031281900
21453,14000US17031282700,803,,17031282700,2827,14000US17031282700
21454,14000US17031282800,342,,17031282800,2828,14000US17031282800
21455,14000US17031283100,123,,17031283100,2831,14000US17031283100
21456,14000US17031283200,85,,17031283200,2832,14000US17031283200
21457,14000US17031283800,409,,17031283800,2838,14000US17031283800
21458,14000US17031290900,139,,17031290900,2909,14000US17031290900
21459,14000US17031291200,0,,17031291200,2912,14000US17031291200
21460,14000US17031291600,710,,17031291600,2916,14000US17031291600
21461,14000US17031292200,0,,17031292200,2922,14000US17031292200
21462,14000US17031292400,35,,17031292400,2924,14000US17031292400
21463,14000US17031292500,0,,17031292500,2925,14000US17031292500
21464,14000US17031300500,2782,,17031300500,3005,14000US17031300500
21465,14000US17031300600,2834,,17031300600,3006,14000US17031300600
21466,14000US17031300700,4269,,17031300700,3007,14000US17031300700
21467,14000US17031300800,3746,,17031300800,3008,14000US17031300800
21468,14000US17031300900,3484,,17031300900,3009,14000US17031300900
21469,14000US17031301100,2485,,17031301100,3011,14000US17031301100
21470,14000US17031301200,3500,,17031301200,3012,14000US17031301200
