OBJECTID,GEOID,TotalPop,FID_,GEOID,NAME,GEOID_Data
21228,14000US17031080400,4579,,17031080400,804,14000US17031080400
21229,14000US17031081000,7744,,17031081000,810,14000US17031081000
21230,14000US17031081100,3465,,17031081100,811,14000US17031081100
21231,14000US17031081201,4102,,17031081201,812.01,14000US17031081201
21232,14000US17031081202,3079,,17031081202,812.02,14000US17031081202
21233,14000US17031081300,4978,,17031081300,813,14000US17031081300
21234,14000US17031081401,2512,,17031081401,814.01,14000US17031081401
21235,14000US17031081402,4112,,17031081402,814.02,14000US17031081402
21236,14000US17031081403,6528,,17031081403,814.03,14000US17031081403
21237,14000US17031081500,4074,,17031081500,815,14000US17031081500
21238,14000US17031081600,3192,,17031081600,816,14000US17031081600
21239,14000US17031081700,3006,,17031081700,817,14000US17031081700
21240,14000US17031081800,6721,,17031081800,818,14000US17031081800
21241,14000US17031081900,1193,,17031081900,819,14000US17031081900
21242,14000US17031090100,3178,,17031090100,901,14000US17031090100
21243,14000US17031090200,6642,,17031090200,902,14000US17031090200
21244,14000US17031090300,1363,,17031090300,903,14000US17031090300
21245,14000US17031100100,5960,,17031100100,1001,14000US17031100100
21246,14000US17031100200,7188,,17031100200,1002,14000US17031100200
21247,14000US17031100300,6024,,17031100300,1003,14000US17031100300
21248,14000US17031100400,3025,,17031100400,1004,14000US17031100400
21249,14000US17031100500,5659,,17031100500,1005,14000US17031100500
21250,14000US17031100600,4694,,17031100600,1006,14000US17031100600
21251,14000US17031100700,4631,,17031100700,1007,14000US17031100700
21252,14000US17031110100,5702,,17031110100,1101,14000US17031110100
21253,14000US17031110200,3034,,17031110200,1102,14000US17031110200
21254,14000US17031110300,4819,,17031110300,1103,14000US17031110300
21255,14000US17031110400,4844,,17031110400,1104,14000US17031110400
21256,14000US17031110501,4901,,17031110501,1105.01,14000US17031110501
21257,14000US17031110502,3471,,17031110502,1105.02,14000US17031110502
21258,14000US17031120100,4073,,17031120100,1201,14000US17031120100
21259,14000US17031120200,4251,,17031120200,1202,14000US17031120200
21260,14000US17031120300,6320,,17031120300,1203,14000US17031120300
21261,14000US17031120400,3898,,17031120400,1204,14000US17031120400
21262,14000US17031130100,6002,,17031130100,1301,14000US17031130100
21263,14000US17031130200,1586,,17031130200,1302,14000US17031130200
21264,14000US17031130300,4977,,17031130300,1303,14000US17031130300
21265,14000US17031140100,3599,,17031140100,1401,14000US17031140100
21266,14000US17031140200,6468,,17031140200,1402,14000US17031140200
21267,14000US17031140301,2648,,17031140301,1403.01,14000US17031140301
21268,14000US17031140302,4351,,17031140302,1403.02,14000US17031140302
21269,14000US17031140400,6855,,17031140400,1404,14000US17031140400
21270,14000US17031140500,4449,,17031140500,1405,14000US17031140500
21271,14000US17031140601,3171,,17031140601,1406.01,14000US17031140601
21272,14000US17031140602,5774,,17031140602,1406.02,14000US17031140602
21273,14000US17031140701,2520,,17031140701,1407.01,14000US17031140701
21274,14000US17031140702,6330,,17031140702,1407.02,14000US17031140702
21275,14000US17031140800,7732,,17031140800,1408,14000US17031140800
21276,14000US17031150200,7799,,17031150200,1502,14000US17031150200
21277,14000US17031150300,6814,,17031150300,1503,14000US17031150300
21278,14000US17031150401,4483,,17031150401,1504.01,14000US17031150401
21279,14000US17031150402,3749,,17031150402,1504.02,14000US17031150402
21280,14000US17031150501,3618,,17031150501,1505.01,14000US17031150501
21281,14000US17031150502,4822,,17031150502,1505.02,14000US17031150502
21282,14000US17031150600,3650,,17031150600,1506,14000US17031150600
21283,14000US17031150700,4451,,17031150700,1507,14000US17031150700
21284,14000US17031150800,5353,,17031150800,1508,14000US17031150800
21285,14000US17031151001,2628,,17031151001,1510.01,14000US17031151001
21286,14000US17031151002,5087,,17031151002,1510.02,14000US17031151002
21287,14000US17031151100,4939,,17031151100,1511,14000US17031151100
21288,14000US17031151200,3651,,17031151200,1512,14000US17031151200
21289,14000US17031160100,2655,,17031160100,1601,14000US17031160100
21290,14000US17031160200,3916,,17031160200,1602,14000US17031160200
21291,14000US17031160300,3853,,17031160300,1603,14000US17031160300
21292,14000US17031160400,5179,,17031160400,1604,14000US17031160400
21293,14000US17031160501,4391,,17031160501,1605.01,14000US17031160501
21294,14000US17031160502,4851,,17031160502,1605.02,14000US17031160502
21295,14000US17031160601,3792,,17031160601,1606.01,14000US17031160601
21296,14000US17031160602,3836,,17031160602,1606.02,14000US17031160602
21297,14000US17031160700,5879,,17031160700,1607,14000US17031160700
21298,14000US17031160800,5385,,17031160800,1608,14000US17031160800
