OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21256,14000US17031110501,3733,178,,17031110501,1105.01,14000US17031110501
21257,14000US17031110502,2766,25,,17031110502,1105.02,14000US17031110502
21258,14000US17031120100,3623,63,,17031120100,1201,14000US17031120100
21259,14000US17031120200,3536,55,,17031120200,1202,14000US17031120200
21260,14000US17031120300,4655,164,,17031120300,1203,14000US17031120300
21261,14000US17031120400,2592,18,,17031120400,1204,14000US17031120400
21262,14000US17031130100,4233,93,,17031130100,1301,14000US17031130100
21263,14000US17031130200,1292,58,,17031130200,1302,14000US17031130200
21264,14000US17031130300,2454,46,,17031130300,1303,14000US17031130300
21265,14000US17031140100,1344,198,,17031140100,1401,14000US17031140100
21266,14000US17031140200,2177,215,,17031140200,1402,14000US17031140200
21267,14000US17031140301,630,111,,17031140301,1403.01,14000US17031140301
21268,14000US17031140302,1660,417,,17031140302,1403.02,14000US17031140302
21269,14000US17031140400,3930,78,,17031140400,1404,14000US17031140400
21270,14000US17031140500,2490,144,,17031140500,1405,14000US17031140500
21271,14000US17031140601,843,116,,17031140601,1406.01,14000US17031140601
21272,14000US17031140602,1672,310,,17031140602,1406.02,14000US17031140602
21273,14000US17031140701,1592,64,,17031140701,1407.01,14000US17031140701
21274,14000US17031140702,2263,555,,17031140702,1407.02,14000US17031140702
21275,14000US17031140800,4175,120,,17031140800,1408,14000US17031140800
21276,14000US17031150200,5167,363,,17031150200,1502,14000US17031150200
21277,14000US17031150300,4900,62,,17031150300,1503,14000US17031150300
21278,14000US17031150401,3454,0,,17031150401,1504.01,14000US17031150401
21279,14000US17031150402,2537,0,,17031150402,1504.02,14000US17031150402
21280,14000US17031150501,2760,3,,17031150501,1505.01,14000US17031150501
21281,14000US17031150502,2790,17,,17031150502,1505.02,14000US17031150502
21282,14000US17031150600,2562,9,,17031150600,1506,14000US17031150600
21283,14000US17031150700,3228,40,,17031150700,1507,14000US17031150700
21284,14000US17031150800,3453,25,,17031150800,1508,14000US17031150800
21285,14000US17031151001,1178,58,,17031151001,1510.01,14000US17031151001
21286,14000US17031151002,2344,36,,17031151002,1510.02,14000US17031151002
21287,14000US17031151100,3005,72,,17031151100,1511,14000US17031151100
21288,14000US17031151200,2778,133,,17031151200,1512,14000US17031151200
21289,14000US17031160100,2030,1,,17031160100,1601,14000US17031160100
21290,14000US17031160200,2615,135,,17031160200,1602,14000US17031160200
21291,14000US17031160300,2038,571,,17031160300,1603,14000US17031160300
21292,14000US17031160400,2872,192,,17031160400,1604,14000US17031160400
21293,14000US17031160501,2004,302,,17031160501,1605.01,14000US17031160501
21294,14000US17031160502,2879,1,,17031160502,1605.02,14000US17031160502
21295,14000US17031160601,2504,19,,17031160601,1606.01,14000US17031160601
21296,14000US17031160602,2067,133,,17031160602,1606.02,14000US17031160602
21297,14000US17031160700,4347,159,,17031160700,1607,14000US17031160700
21298,14000US17031160800,3620,16,,17031160800,1608,14000US17031160800
21299,14000US17031160900,2174,8,,17031160900,1609,14000US17031160900
21300,14000US17031161000,1523,5,,17031161000,1610,14000US17031161000
21301,14000US17031161100,1797,61,,17031161100,1611,14000US17031161100
21302,14000US17031161200,1712,24,,17031161200,1612,14000US17031161200
21303,14000US17031161300,3029,144,,17031161300,1613,14000US17031161300
21304,14000US17031170100,1937,66,,17031170100,1701,14000US17031170100
21305,14000US17031170200,3202,1,,17031170200,1702,14000US17031170200
21306,14000US17031170300,4387,2,,17031170300,1703,14000US17031170300
21307,14000US17031170400,3451,10,,17031170400,1704,14000US17031170400
21308,14000US17031170500,4337,106,,17031170500,1705,14000US17031170500
21309,14000US17031170600,2110,56,,17031170600,1706,14000US17031170600
21310,14000US17031170700,2951,0,,17031170700,1707,14000US17031170700
21311,14000US17031170800,3180,9,,17031170800,1708,14000US17031170800
21312,14000US17031170900,1419,78,,17031170900,1709,14000US17031170900
21313,14000US17031171000,5817,122,,17031171000,1710,14000US17031171000
21314,14000US17031171100,2874,0,,17031171100,1711,14000US17031171100
21315,14000US17031180100,3917,147,,17031180100,1801,14000US17031180100
21316,14000US17031190100,1196,70,,17031190100,1901,14000US17031190100
21317,14000US17031190200,2394,139,,17031190200,1902,14000US17031190200
21318,14000US17031190300,2864,20,,17031190300,1903,14000US17031190300
21319,14000US17031190401,2871,184,,17031190401,1904.01,14000US17031190401
21320,14000US17031190402,2335,216,,17031190402,1904.02,14000US17031190402
21321,14000US17031190601,1373,228,,17031190601,1906.01,14000US17031190601
21322,14000US17031190602,2146,491,,17031190602,1906.02,14000US17031190602
21323,14000US17031190701,1384,82,,17031190701,1907.01,14000US17031190701
21324,14000US17031190702,1861,231,,17031190702,1907.02,14000US17031190702
21325,14000US17031190800,2084,259,,17031190800,1908,14000US17031190800
21326,14000US17031190900,779,321,,17031190900,1909,14000US17031190900
21327,14000US17031191000,1085,85,,17031191000,1910,14000US17031191000
21328,14000US17031191100,1908,628,,17031191100,1911,14000US17031191100
21329,14000US17031191200,899,92,,17031191200,1912,14000US17031191200
21330,14000US17031191301,1931,820,,17031191301,1913.01,14000US17031191301
21331,14000US17031191302,1959,146,,17031191302,1913.02,14000US17031191302
21332,14000US17031200100,1883,0,,17031200100,2001,14000US17031200100
21333,14000US17031200200,1363,45,,17031200200,2002,14000US17031200200
21334,14000US17031200300,676,12,,17031200300,2003,14000US17031200300
21335,14000US17031200401,1929,52,,17031200401,2004.01,14000US17031200401
21336,14000US17031200402,1117,78,,17031200402,2004.02,14000US17031200402
21337,14000US17031210100,2938,286,,17031210100,2101,14000US17031210100
21338,14000US17031210400,2403,47,,17031210400,2104,14000US17031210400
21339,14000US17031210501,3359,200,,17031210501,2105.01,14000US17031210501
21340,14000US17031210502,4216,125,,17031210502,2105.02,14000US17031210502
21341,14000US17031210601,2576,36,,17031210601,2106.01,14000US17031210601
21342,14000US17031210602,3744,72,,17031210602,2106.02,14000US17031210602
21343,14000US17031210700,3690,138,,17031210700,2107,14000US17031210700
21344,14000US17031210800,811,16,,17031210800,2108,14000US17031210800
21345,14000US17031210900,2035,193,,17031210900,2109,14000US17031210900
21346,14000US17031220300,2165,89,,17031220300,2203,14000US17031220300
21347,14000US17031220400,1783,77,,17031220400,2204,14000US17031220400
21348,14000US17031220500,2287,307,,17031220500,2205,14000US17031220500
21349,14000US17031220601,1204,167,,17031220601,2206.01,14000US17031220601
21350,14000US17031220602,3349,406,,17031220602,2206.02,14000US17031220602
21351,14000US17031220701,3348,315,,17031220701,2207.01,14000US17031220701
21352,14000US17031220702,3427,222,,17031220702,2207.02,14000US17031220702
21353,14000US17031220901,2101,580,,17031220901,2209.01,14000US17031220901
21354,14000US17031220902,2699,239,,17031220902,2209.02,14000US17031220902
21355,14000US17031221000,2431,338,,17031221000,2210,14000US17031221000
21356,14000US17031221100,3358,615,,17031221100,2211,14000US17031221100
21357,14000US17031221200,1634,100,,17031221200,2212,14000US17031221200
21358,14000US17031221300,2113,150,,17031221300,2213,14000US17031221300
21359,14000US17031221400,2797,142,,17031221400,2214,14000US17031221400
21360,14000US17031221500,2188,174,,17031221500,2215,14000US17031221500
21361,14000US17031221600,2598,31,,17031221600,2216,14000US17031221600
